p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
2.673999965190887451e-01,2.549999952316284180e-02,-2.000000094994902611e-03,-7.400000002235174179e-03,-3.000000026077032089e-03,-1.300000003539025784e-03,9.373000264167785645e-01,2.748999893665313721e-01,2.102999985218048096e-01,9.420000016689300537e-02,1.300999969244003296e-01
2.518999874591827393e-01,2.840000018477439880e-02,-1.099999994039535522e-03,-2.899999963119626045e-03,-3.700000001117587090e-03,-2.199999988079071045e-03,9.423999786376953125e-01,2.599999904632568359e-01,2.211000025272369385e-01,1.019999980926513672e-01,1.193000003695487976e-01
2.353000044822692871e-01,3.709999844431877136e-02,8.999999845400452614e-04,-1.700000022538006306e-03,-1.799999969080090523e-03,0.000000000000000000e+00,9.491999745368957520e-01,2.439000010490417480e-01,2.336000055074691772e-01,1.114000007510185242e-01,1.089000031352043152e-01
2.210000008344650269e-01,4.129999876022338867e-02,8.999999845400452614e-04,-2.799999900162220001e-03,1.900000032037496567e-03,2.499999944120645523e-03,9.502999782562255859e-01,2.353000044822692871e-01,2.472999989986419678e-01,1.218999996781349182e-01,1.018000021576881409e-01
2.076999992132186890e-01,4.230000078678131104e-02,3.000000142492353916e-04,-1.599999959580600262e-03,4.699999932199716568e-03,5.700000096112489700e-03,9.527000188827514648e-01,2.248000055551528931e-01,2.644999921321868896e-01,1.388999968767166138e-01,9.149999916553497314e-02
1.985999941825866699e-01,4.639999940991401672e-02,-5.000000237487256527e-04,1.200000056996941566e-03,2.499999944120645523e-03,8.100000210106372833e-03,9.550999999046325684e-01,2.187000066041946411e-01,2.865999937057495117e-01,1.571999937295913696e-01,8.460000157356262207e-02
1.914000064134597778e-01,5.310000106692314148e-02,2.000000094994902611e-03,3.500000108033418655e-03,2.199999988079071045e-03,1.429999992251396179e-02,9.573000073432922363e-01,2.117000073194503784e-01,3.102999925613403320e-01,1.756000071763992310e-01,7.609999924898147583e-02
1.817999929189682007e-01,6.129999831318855286e-02,3.700000001117587090e-03,6.300000008195638657e-03,1.799999969080090523e-03,1.789999939501285553e-02,9.578999876976013184e-01,2.034000009298324585e-01,3.332000076770782471e-01,2.000000029802322388e-01,7.220000028610229492e-02
1.733999997377395630e-01,6.660000234842300415e-02,6.899999920278787613e-03,6.599999964237213135e-03,5.299999844282865524e-03,2.180000022053718567e-02,9.585000276565551758e-01,2.050999999046325684e-01,3.504999876022338867e-01,2.226999998092651367e-01,6.719999760389328003e-02
1.720000058412551880e-01,7.150000333786010742e-02,5.200000014156103134e-03,1.119999960064888000e-02,6.599999964237213135e-03,2.600000053644180298e-02,9.585999846458435059e-01,2.025000005960464478e-01,3.741999864578247070e-01,2.433000057935714722e-01,5.669999867677688599e-02
1.638000011444091797e-01,7.620000094175338745e-02,8.399999700486660004e-03,1.769999973475933075e-02,9.600000455975532532e-03,2.889999933540821075e-02,9.654999971389770508e-01,1.981000006198883057e-01,3.971000015735626221e-01,2.725999951362609863e-01,4.919999837875366211e-02
1.555999964475631714e-01,8.259999752044677734e-02,8.999999612569808960e-03,1.510000042617321014e-02,1.250000018626451492e-02,3.739999979734420776e-02,9.660999774932861328e-01,1.974000036716461182e-01,4.208000004291534424e-01,2.964999973773956299e-01,4.610000178217887878e-02
1.515000015497207642e-01,8.309999853372573853e-02,1.169999968260526657e-02,1.689999923110008240e-02,1.009999960660934448e-02,3.849999979138374329e-02,9.724000096321105957e-01,1.935999989509582520e-01,4.449999928474426270e-01,3.235999941825866699e-01,3.950000181794166565e-02
1.474999934434890747e-01,8.209999650716781616e-02,1.229999959468841553e-02,1.740000024437904358e-02,1.499999966472387314e-02,4.289999976754188538e-02,9.757000207901000977e-01,1.897999942302703857e-01,4.697000086307525635e-01,3.503000140190124512e-01,3.460000082850456238e-02
1.480000019073486328e-01,8.420000225305557251e-02,1.370000001043081284e-02,1.860000006854534149e-02,1.329999975860118866e-02,4.679999873042106628e-02,9.750999808311462402e-01,1.899999976158142090e-01,4.952999949455261230e-01,3.772999942302703857e-01,2.969999983906745911e-02
1.439999938011169434e-01,8.699999749660491943e-02,1.009999960660934448e-02,1.840000040829181671e-02,1.520000025629997253e-02,5.440000072121620178e-02,9.733999967575073242e-01,1.893000006675720215e-01,5.164999961853027344e-01,4.036999940872192383e-01,2.639999985694885254e-02
1.463000029325485229e-01,8.919999748468399048e-02,8.999999612569808960e-03,2.309999987483024597e-02,1.559999957680702209e-02,5.510000139474868774e-02,9.760000109672546387e-01,1.905999928712844849e-01,5.320000052452087402e-01,4.323000013828277588e-01,2.030000090599060059e-02
1.412999927997589111e-01,9.189999848604202271e-02,8.500000461935997009e-03,2.549999952316284180e-02,1.930000074207782745e-02,5.939999967813491821e-02,9.794999957084655762e-01,1.887000054121017456e-01,5.533999800682067871e-01,4.580999910831451416e-01,1.979999989271163940e-02
1.414999961853027344e-01,9.189999848604202271e-02,6.699999794363975525e-03,2.730000019073486328e-02,2.180000022053718567e-02,6.289999932050704956e-02,9.853000044822692871e-01,1.890999972820281982e-01,5.680000185966491699e-01,4.826000034809112549e-01,2.239999920129776001e-02
1.385000050067901611e-01,9.520000219345092773e-02,7.199999876320362091e-03,3.060000017285346985e-02,2.089999988675117493e-02,6.870000064373016357e-02,9.865999817848205566e-01,1.904000043869018555e-01,5.856000185012817383e-01,5.024999976158142090e-01,2.129999920725822449e-02
1.386000066995620728e-01,9.929999709129333496e-02,7.499999832361936569e-03,2.649999968707561493e-02,2.679999917745590210e-02,7.299999892711639404e-02,9.878000020980834961e-01,1.915999948978424072e-01,6.031000018119812012e-01,5.224000215530395508e-01,1.979999989271163940e-02
1.336999982595443726e-01,1.010999977588653564e-01,6.099999882280826569e-03,2.370000071823596954e-02,2.419999986886978149e-02,7.509999722242355347e-02,9.897000193595886230e-01,1.885000020265579224e-01,6.190000176429748535e-01,5.403000116348266602e-01,1.769999973475933075e-02
1.317999958992004395e-01,1.009000018239021301e-01,4.600000102072954178e-03,2.779999934136867523e-02,2.669999934732913971e-02,7.930000126361846924e-02,9.925000071525573730e-01,1.891999989748001099e-01,6.338999867439270020e-01,5.546000003814697266e-01,1.730000041425228119e-02
1.295000016689300537e-01,1.035000011324882507e-01,7.400000002235174179e-03,2.999999932944774628e-02,2.659999951720237732e-02,8.169999718666076660e-02,9.966999888420104980e-01,1.854999959468841553e-01,6.450999975204467773e-01,5.753999948501586914e-01,1.710000075399875641e-02
1.283999979496002197e-01,1.001000031828880310e-01,6.300000008195638657e-03,2.989999949932098389e-02,2.930000051856040955e-02,8.680000156164169312e-02,9.948999881744384766e-01,1.841000020503997803e-01,6.546000242233276367e-01,5.917000174522399902e-01,1.119999960064888000e-02
1.246000006794929504e-01,1.018000021576881409e-01,1.119999960064888000e-02,3.539999946951866150e-02,2.639999985694885254e-02,9.009999781847000122e-02,9.948999881744384766e-01,1.886000037193298340e-01,6.650999784469604492e-01,6.068000197410583496e-01,1.190000027418136597e-02
1.230000033974647522e-01,1.057000011205673218e-01,7.899999618530273438e-03,3.530000150203704834e-02,2.999999932944774628e-02,9.719999879598617554e-02,9.890000224113464355e-01,1.858000010251998901e-01,6.758000254631042480e-01,6.209999918937683105e-01,1.180000044405460358e-02
1.184000000357627869e-01,1.040000021457672119e-01,8.700000122189521790e-03,3.570000082254409790e-02,3.030000068247318268e-02,9.960000216960906982e-02,9.889000058174133301e-01,1.861000061035156250e-01,6.811000108718872070e-01,6.299999952316284180e-01,9.200000204145908356e-03
1.190999969840049744e-01,1.036000028252601624e-01,9.200000204145908356e-03,3.220000118017196655e-02,3.030000068247318268e-02,1.015999987721443176e-01,9.880999922752380371e-01,1.852999925613403320e-01,6.912999749183654785e-01,6.417000293731689453e-01,8.399999700486660004e-03
1.198000013828277588e-01,1.035000011324882507e-01,5.200000014156103134e-03,3.319999948143959045e-02,3.060000017285346985e-02,1.001000031828880310e-01,9.873999953269958496e-01,1.870000064373016357e-01,7.005000114440917969e-01,6.513000130653381348e-01,6.899999920278787613e-03
1.171000003814697266e-01,1.054999977350234985e-01,5.499999970197677612e-03,3.390000015497207642e-02,3.030000068247318268e-02,1.040999963879585266e-01,9.876999855041503906e-01,1.888999938964843750e-01,7.091000080108642578e-01,6.589999794960021973e-01,7.699999958276748657e-03
1.156999990344047546e-01,1.066000014543533325e-01,8.399999700486660004e-03,3.489999845623970032e-02,3.030000068247318268e-02,1.031000018119812012e-01,9.882000088691711426e-01,1.905000060796737671e-01,7.142000198364257812e-01,6.704999804496765137e-01,6.399999838322401047e-03
1.159999966621398926e-01,1.097000017762184143e-01,8.700000122189521790e-03,3.409999981522560120e-02,3.209999948740005493e-02,1.077999994158744812e-01,9.901999831199645996e-01,1.886000037193298340e-01,7.200999855995178223e-01,6.801999807357788086e-01,4.600000102072954178e-03
1.141000017523765564e-01,1.096000000834465027e-01,1.159999985247850418e-02,3.620000183582305908e-02,3.629999980330467224e-02,1.088000014424324036e-01,9.904000163078308105e-01,1.884000003337860107e-01,7.225000262260437012e-01,6.883000135421752930e-01,3.500000108033418655e-03
1.185000017285346985e-01,1.080999970436096191e-01,9.600000455975532532e-03,3.510000184178352356e-02,3.629999980330467224e-02,1.054999977350234985e-01,9.887999892234802246e-01,1.908999979496002197e-01,7.314000129699707031e-01,6.988999843597412109e-01,5.100000184029340744e-03
1.173999980092048645e-01,1.045999974012374878e-01,9.800000116229057312e-03,3.700000047683715820e-02,3.689999878406524658e-02,1.061000004410743713e-01,9.890000224113464355e-01,1.882999986410140991e-01,7.347999811172485352e-01,7.053999900817871094e-01,2.199999988079071045e-03
1.134999990463256836e-01,1.022000014781951904e-01,1.099999994039535522e-02,4.080000147223472595e-02,3.299999982118606567e-02,1.090999990701675415e-01,9.908999800682067871e-01,1.905000060796737671e-01,7.426999807357788086e-01,7.131000161170959473e-01,-1.099999994039535522e-03
1.120999976992607117e-01,1.002999991178512573e-01,7.400000002235174179e-03,3.649999946355819702e-02,3.649999946355819702e-02,1.053000018000602722e-01,9.904999732971191406e-01,1.944999992847442627e-01,7.472000122070312500e-01,7.213000059127807617e-01,-1.700000022538006306e-03
1.080999970436096191e-01,1.032999977469444275e-01,7.100000046193599701e-03,3.460000082850456238e-02,3.469999879598617554e-02,1.052000001072883606e-01,9.897999763488769531e-01,1.982000023126602173e-01,7.509999871253967285e-01,7.301999926567077637e-01,-2.300000051036477089e-03
1.102999970316886902e-01,1.027000024914741516e-01,7.899999618530273438e-03,3.629999980330467224e-02,3.400000184774398804e-02,1.067000031471252441e-01,9.896000027656555176e-01,1.996999979019165039e-01,7.534000277519226074e-01,7.336000204086303711e-01,-1.700000022538006306e-03
1.046999990940093994e-01,1.010999977588653564e-01,9.700000286102294922e-03,3.640000149607658386e-02,3.249999880790710449e-02,1.058000028133392334e-01,9.922999739646911621e-01,1.992000043392181396e-01,7.573000192642211914e-01,7.389000058174133301e-01,-3.000000142492353916e-04
1.024999991059303284e-01,9.910000115633010864e-02,9.300000034272670746e-03,3.660000115633010864e-02,3.370000049471855164e-02,1.076000034809112549e-01,9.940999746322631836e-01,2.039999961853027344e-01,7.612000107765197754e-01,7.454000115394592285e-01,-4.000000189989805222e-03
1.005000025033950806e-01,9.260000288486480713e-02,1.140000019222497940e-02,3.209999948740005493e-02,3.359999880194664001e-02,1.089999973773956299e-01,9.901000261306762695e-01,2.098000049591064453e-01,7.634000182151794434e-01,7.516999840736389160e-01,-5.299999844282865524e-03
9.969999641180038452e-02,9.210000187158584595e-02,1.150000002235174179e-02,3.390000015497207642e-02,3.489999845623970032e-02,1.072999984025955200e-01,9.902999997138977051e-01,2.146999984979629517e-01,7.698000073432922363e-01,7.554000020027160645e-01,-2.099999925121665001e-03
9.510000050067901611e-02,8.460000157356262207e-02,1.109999977052211761e-02,3.319999948143959045e-02,3.009999915957450867e-02,1.032999977469444275e-01,9.878000020980834961e-01,2.234999984502792358e-01,7.738000154495239258e-01,7.626000046730041504e-01,2.899999963119626045e-03
9.239999949932098389e-02,8.280000090599060059e-02,7.499999832361936569e-03,3.150000050663948059e-02,2.600000053644180298e-02,1.015999987721443176e-01,9.869999885559082031e-01,2.298000007867813110e-01,7.836999893188476562e-01,7.651000022888183594e-01,7.999999797903001308e-04
8.340000361204147339e-02,7.829999923706054688e-02,6.099999882280826569e-03,3.189999982714653015e-02,2.529999986290931702e-02,9.889999777078628540e-02,9.901000261306762695e-01,2.408999949693679810e-01,7.928000092506408691e-01,7.706000208854675293e-01,2.400000113993883133e-03
8.129999786615371704e-02,7.490000128746032715e-02,3.100000089034438133e-03,2.869999967515468597e-02,2.549999952316284180e-02,9.239999949932098389e-02,9.896000027656555176e-01,2.545999884605407715e-01,7.997999787330627441e-01,7.774000167846679688e-01,-1.599999959580600262e-03
7.680000364780426025e-02,7.389999926090240479e-02,2.099999925121665001e-03,2.779999934136867523e-02,2.309999987483024597e-02,9.059999883174896240e-02,9.857000112533569336e-01,2.698999941349029541e-01,8.083000183105468750e-01,7.835000157356262207e-01,-2.400000113993883133e-03
7.220000028610229492e-02,6.800000369548797607e-02,3.100000089034438133e-03,2.769999951124191284e-02,2.170000039041042328e-02,8.579999953508377075e-02,9.876000285148620605e-01,2.840999960899353027e-01,8.176000118255615234e-01,7.922999858856201172e-01,3.000000142492353916e-04
6.740000098943710327e-02,6.270000338554382324e-02,3.800000064074993134e-03,2.769999951124191284e-02,1.940000057220458984e-02,8.079999685287475586e-02,9.897000193595886230e-01,3.010999858379364014e-01,8.277999758720397949e-01,8.008000254631042480e-01,-2.099999925121665001e-03
6.310000270605087280e-02,5.820000171661376953e-02,2.099999925121665001e-03,2.740000002086162567e-02,1.499999966472387314e-02,7.370000332593917847e-02,9.926999807357788086e-01,3.201000094413757324e-01,8.356999754905700684e-01,8.083000183105468750e-01,9.999999747378751636e-05
6.129999831318855286e-02,5.319999903440475464e-02,5.700000096112489700e-03,2.969999983906745911e-02,1.300000026822090149e-02,7.090000063180923462e-02,9.939000010490417480e-01,3.413999974727630615e-01,8.409000039100646973e-01,8.185999989509582520e-01,-3.199999919161200523e-03
5.790000036358833313e-02,4.850000143051147461e-02,5.299999844282865524e-03,2.740000002086162567e-02,1.070000045001506805e-02,6.150000169873237610e-02,9.973000288009643555e-01,3.643000125885009766e-01,8.514000177383422852e-01,8.256999850273132324e-01,-3.899999894201755524e-03
5.350000038743019104e-02,4.520000144839286804e-02,4.999999888241291046e-03,2.380000054836273193e-02,1.319999992847442627e-02,5.660000070929527283e-02,9.986000061035156250e-01,3.887999951839447021e-01,8.544999957084655762e-01,8.367999792098999023e-01,7.999999797903001308e-04
4.769999906420707703e-02,3.999999910593032837e-02,4.199999850243330002e-03,2.180000022053718567e-02,1.159999985247850418e-02,4.980000108480453491e-02,9.957000017166137695e-01,4.158000051975250244e-01,8.615999817848205566e-01,8.432000279426574707e-01,2.799999900162220001e-03
4.690000042319297791e-02,3.640000149607658386e-02,3.599999938160181046e-03,2.319999970495700836e-02,9.700000286102294922e-03,4.870000109076499939e-02,9.951000213623046875e-01,4.458000063896179199e-01,8.701000213623046875e-01,8.507999777793884277e-01,6.999999750405550003e-04
3.889999911189079285e-02,3.060000017285346985e-02,7.600000128149986267e-03,2.250000089406967163e-02,9.999999776482582092e-03,4.610000178217887878e-02,9.950000047683715820e-01,4.745000004768371582e-01,8.801000118255615234e-01,8.616999983787536621e-01,-1.000000047497451305e-03
3.819999843835830688e-02,2.820000052452087402e-02,5.499999970197677612e-03,2.099999971687793732e-02,7.899999618530273438e-03,4.010000079870223999e-02,9.958999752998352051e-01,5.077999830245971680e-01,8.884000182151794434e-01,8.711000084877014160e-01,-1.000000047497451305e-03
3.489999845623970032e-02,2.580000087618827820e-02,7.300000172108411789e-03,1.549999974668025970e-02,7.100000046193599701e-03,3.790000081062316895e-02,9.961000084877014160e-01,5.372999906539916992e-01,8.909000158309936523e-01,8.802000284194946289e-01,-3.400000045076012611e-03
3.200000151991844177e-02,2.080000005662441254e-02,8.200000040233135223e-03,1.510000042617321014e-02,8.000000379979610443e-03,3.460000082850456238e-02,9.988999962806701660e-01,5.652999877929687500e-01,8.928999900817871094e-01,8.878999948501586914e-01,-3.400000045076012611e-03
2.930000051856040955e-02,1.869999989867210388e-02,4.100000020116567612e-03,1.759999990463256836e-02,8.500000461935997009e-03,3.290000185370445251e-02,1.002599954605102539e+00,5.953999757766723633e-01,9.017000198364257812e-01,8.970000147819519043e-01,-1.000000047497451305e-03
2.400000020861625671e-02,1.579999923706054688e-02,2.199999988079071045e-03,1.669999957084655762e-02,4.999999888241291046e-03,3.030000068247318268e-02,1.003800034523010254e+00,6.247000098228454590e-01,9.093999862670898438e-01,9.029999971389770508e-01,1.999999949475750327e-04
2.199999988079071045e-02,8.999999612569808960e-03,-1.200000056996941566e-03,1.649999991059303284e-02,3.400000045076012611e-03,2.720000036060810089e-02,1.006999969482421875e+00,6.517999768257141113e-01,9.157999753952026367e-01,9.110999703407287598e-01,1.099999994039535522e-03
2.109999954700469971e-02,7.799999788403511047e-03,3.000000142492353916e-04,1.610000059008598328e-02,4.399999976158142090e-03,2.480000071227550507e-02,1.003800034523010254e+00,6.807000041007995605e-01,9.248999953269958496e-01,9.182000160217285156e-01,-3.999999898951500654e-04
1.720000058412551880e-02,9.800000116229057312e-03,-3.899999894201755524e-03,1.350000035017728806e-02,3.800000064074993134e-03,2.260000072419643402e-02,1.001799941062927246e+00,7.107999920845031738e-01,9.311000108718872070e-01,9.203000068664550781e-01,1.099999994039535522e-03
1.689999923110008240e-02,9.200000204145908356e-03,-2.600000007078051567e-03,1.590000092983245850e-02,3.000000142492353916e-04,2.219999954104423523e-02,1.000800013542175293e+00,7.342000007629394531e-01,9.365000128746032715e-01,9.253000020980834961e-01,-2.400000113993883133e-03
1.669999957084655762e-02,9.399999864399433136e-03,-8.999999845400452614e-04,1.040000002831220627e-02,1.200000056996941566e-03,2.080000005662441254e-02,1.002200007438659668e+00,7.559000253677368164e-01,9.427999854087829590e-01,9.311000108718872070e-01,6.000000284984707832e-04
1.850000023841857910e-02,9.800000116229057312e-03,-3.000000142492353916e-04,1.009999960660934448e-02,-1.300000003539025784e-03,1.889999955892562866e-02,9.998999834060668945e-01,7.760999798774719238e-01,9.459999799728393555e-01,9.362000226974487305e-01,3.000000026077032089e-03
1.539999991655349731e-02,1.140000019222497940e-02,2.600000007078051567e-03,7.400000002235174179e-03,-3.700000001117587090e-03,1.720000058412551880e-02,9.994000196456909180e-01,7.940000295639038086e-01,9.498999714851379395e-01,9.423999786376953125e-01,-8.999999845400452614e-04
1.260000001639127731e-02,8.799999952316284180e-03,2.400000113993883133e-03,5.299999844282865524e-03,9.999999747378751636e-05,1.559999957680702209e-02,1.000200033187866211e+00,8.087000250816345215e-01,9.502999782562255859e-01,9.474999904632568359e-01,-0.000000000000000000e+00
1.339999958872795105e-02,1.090000011026859283e-02,4.100000020116567612e-03,8.799999952316284180e-03,-1.399999950081110001e-03,1.319999992847442627e-02,9.983999729156494141e-01,8.264999985694885254e-01,9.490000009536743164e-01,9.501000046730041504e-01,-6.999999750405550003e-04
1.250000018626451492e-02,1.229999959468841553e-02,7.400000002235174179e-03,1.020000036805868149e-02,-6.099999882280826569e-03,1.180000044405460358e-02,9.962999820709228516e-01,8.391000032424926758e-01,9.514999985694885254e-01,9.545000195503234863e-01,-2.499999944120645523e-03
1.070000045001506805e-02,6.200000178068876266e-03,9.600000455975532532e-03,1.180000044405460358e-02,-6.300000008195638657e-03,1.240000035613775253e-02,9.983999729156494141e-01,8.514000177383422852e-01,9.559000134468078613e-01,9.538000226020812988e-01,-4.000000189989805222e-03
5.900000222027301788e-03,6.399999838322401047e-03,8.500000461935997009e-03,9.800000116229057312e-03,-5.299999844282865524e-03,1.370000001043081284e-02,9.970999956130981445e-01,8.691999912261962891e-01,9.585000276565551758e-01,9.516999721527099609e-01,-2.300000051036477089e-03
2.099999925121665001e-03,8.600000292062759399e-03,8.200000040233135223e-03,6.300000008195638657e-03,-2.000000094994902611e-03,1.240000035613775253e-02,9.969000220298767090e-01,8.816000223159790039e-01,9.620000123977661133e-01,9.575999975204467773e-01,-4.699999932199716568e-03
2.000000094994902611e-03,1.080000028014183044e-02,6.800000090152025223e-03,4.800000227987766266e-03,-2.199999988079071045e-03,1.070000045001506805e-02,9.976999759674072266e-01,8.923000097274780273e-01,9.617999792098999023e-01,9.593999981880187988e-01,-2.899999963119626045e-03
-6.999999750405550003e-04,1.389999967068433762e-02,6.899999920278787613e-03,3.700000001117587090e-03,1.000000047497451305e-03,1.099999994039535522e-02,9.976000189781188965e-01,9.006000161170959473e-01,9.620000123977661133e-01,9.634000062942504883e-01,-3.700000001117587090e-03
-3.000000026077032089e-03,1.659999974071979523e-02,6.800000090152025223e-03,5.900000222027301788e-03,2.099999925121665001e-03,1.329999975860118866e-02,9.994000196456909180e-01,9.090999960899353027e-01,9.674999713897705078e-01,9.674999713897705078e-01,-5.900000222027301788e-03
7.999999797903001308e-04,1.370000001043081284e-02,6.399999838322401047e-03,6.500000134110450745e-03,1.399999950081110001e-03,1.070000045001506805e-02,1.000499963760375977e+00,9.128999710083007812e-01,9.679999947547912598e-01,9.714999794960021973e-01,-3.800000064074993134e-03
1.300000003539025784e-03,9.300000034272670746e-03,7.199999876320362091e-03,6.500000134110450745e-03,3.800000064074993134e-03,7.400000002235174179e-03,9.998000264167785645e-01,9.200000166893005371e-01,9.721999764442443848e-01,9.696000218391418457e-01,-5.900000222027301788e-03
-2.899999963119626045e-03,1.439999975264072418e-02,7.799999788403511047e-03,7.000000216066837311e-03,6.000000052154064178e-03,3.100000089034438133e-03,1.000900030136108398e+00,9.250000119209289551e-01,9.703999757766723633e-01,9.735000133514404297e-01,-6.099999882280826569e-03
-2.000000094994902611e-03,1.159999985247850418e-02,3.599999938160181046e-03,5.200000014156103134e-03,5.700000096112489700e-03,3.800000064074993134e-03,9.995999932289123535e-01,9.345999956130981445e-01,9.715999960899353027e-01,9.735000133514404297e-01,-1.049999985843896866e-02
-3.299999982118606567e-03,8.000000379979610443e-03,3.500000108033418655e-03,3.599999938160181046e-03,1.700000022538006306e-03,6.000000284984707832e-04,1.005300045013427734e+00,9.462000131607055664e-01,9.707000255584716797e-01,9.710000157356262207e-01,-6.599999964237213135e-03
-6.999999750405550003e-04,1.080000028014183044e-02,6.099999882280826569e-03,2.199999988079071045e-03,1.999999949475750327e-04,6.000000284984707832e-04,1.003000020980834961e+00,9.456999897956848145e-01,9.735999703407287598e-01,9.693999886512756348e-01,-8.500000461935997009e-03
-2.499999944120645523e-03,1.080000028014183044e-02,9.300000034272670746e-03,5.200000014156103134e-03,-2.400000113993883133e-03,-2.600000007078051567e-03,1.002699971199035645e+00,9.527000188827514648e-01,9.751999974250793457e-01,9.695000052452087402e-01,-8.899999782443046570e-03
-5.299999844282865524e-03,1.300000026822090149e-02,1.159999985247850418e-02,5.200000014156103134e-03,-1.900000032037496567e-03,-2.600000007078051567e-03,1.003800034523010254e+00,9.567999839782714844e-01,9.781000018119812012e-01,9.703999757766723633e-01,-4.300000146031379700e-03
-6.800000090152025223e-03,1.119999960064888000e-02,9.300000034272670746e-03,-5.000000237487256527e-04,-1.000000047497451305e-03,-3.599999938160181046e-03,1.000300049781799316e+00,9.567999839782714844e-01,9.794999957084655762e-01,9.688000082969665527e-01,-4.900000058114528656e-03
-7.400000002235174179e-03,1.389999967068433762e-02,6.300000008195638657e-03,-1.000000047497451305e-03,-4.699999932199716568e-03,-2.400000113993883133e-03,9.980999827384948730e-01,9.605000019073486328e-01,9.801999926567077637e-01,9.699000120162963867e-01,-4.900000058114528656e-03
-6.099999882280826569e-03,1.370000001043081284e-02,3.500000108033418655e-03,1.200000056996941566e-03,-3.700000001117587090e-03,-1.200000056996941566e-03,9.979000091552734375e-01,9.641000032424926758e-01,9.808999896049499512e-01,9.700999855995178223e-01,-6.599999964237213135e-03
-5.900000222027301788e-03,1.649999991059303284e-02,2.499999944120645523e-03,1.700000022538006306e-03,-5.299999844282865524e-03,5.000000237487256527e-04,9.959999918937683105e-01,9.642000198364257812e-01,9.794999957084655762e-01,9.753999710083007812e-01,-6.800000090152025223e-03
-4.499999806284904480e-03,1.840000040829181671e-02,1.399999950081110001e-03,4.000000189989805222e-03,-3.299999982118606567e-03,3.999999898951500654e-04,9.965000152587890625e-01,9.577000141143798828e-01,9.800999760627746582e-01,9.743999838829040527e-01,-6.500000134110450745e-03
